town,page,page2,url,num,url_num
Meuselwitz,479,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454638,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454638
Minden,479,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454638,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454638
Mittweida,480,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454639,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454639
Moers,480,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454639,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454639
Mosbach,481,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454640,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454640
Möhldorf,482,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454641,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454641
Mühlhausen,483,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454642,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454642
Mühlheim,486,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454645,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454645
Mühlheim/Ruhr,484,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454643,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454643
München,487,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454646,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454646
München/Gladbach,497,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454656,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454656
Münster,498,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454657,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454657
Naumburg,499,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454658,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454658
Neckarsulm,345,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454504,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454504
Neheim,499,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454658,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454658
Neisse,499,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454658,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454658
Neubrandenburg,500,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454659,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454659
Neu-Isenburg,500,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454659,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454659
Neumünster,501,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454660,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454660
Neunkirchen,501,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454660,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454660
Neuruppin,503,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454662,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454662
Neusalz,503,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454662,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454662
Neuss,504,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454663,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454663
Neustadt,508,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454667,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454667
Neustadt-Clewe,508,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454667,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454667
Neustettin,508,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454667,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454667
Neustrelitz,508,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454667,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454667
Neuwied,509,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454668,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454668
Niedermarsberg,509,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454668,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454668
Nienburg,509,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454668,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454668
Niesky,510,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454669,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454669
Nordenham,510,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454669,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454669
Nordhausen,511,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454670,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454670
Nordhorn,513,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454672,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454672
Nurnberg,514,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454673,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454673
Oberhausen,521,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454680,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454680
Obernburg/Main,526,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454685,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454685
Oberndorf,526,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454685,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454685
Obernkirchen,527,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454686,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454686
Oberscheld,527,0,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/,454686,https://visualcollections.ub.uni-mainz.de/histbuch/content/pageview/454686
